nb;userId;FAR;FRR
1;1;0.02557200538358;0.127272727272727
2;3;0.850806451612903;0.08
3;2;0.003222341568206;0.217391304347826
4;27;0.119130668097666;0.116279069767442
5;100;0.035944206008584;0.095238095238095
6;82;0.545332618025751;0.047619047619048
7;61;0.201984978540772;0.214285714285714
8;7;0.087446351931331;0.166666666666667
9;5;0.001877682403433;0.095238095238095
10;50;0.000535762121618;0.297297297297297
11;45;0.523171711759979;0.081081081081081
12;42;0.058130190195553;0.216216216216216
13;28;0.097240825073667;0.027027027027027
14;106;0.004284949116229;0.277777777777778
15;103;0.018478843063739;0.138888888888889
16;101;0.10953401178361;0.055555555555556
17;98;0.022495982860204;0.194444444444444
18;96;0.001339046598822;0.305555555555556
19;94;0.028119978575255;0.138888888888889
20;88;0.005356186395287;0.555555555555556
21;86;0.234333154793787;0.25
22;80;0.000803427959293;0.138888888888889
23;79;0.011247991430102;0.25
24;75;0.062399571505088;0.111111111111111
25;68;0;0.166666666666667
26;64;0.157739689341189;0.222222222222222
27;62;0.002142474558115;0.333333333333333
28;53;0.437868237814676;0.166666666666667
29;49;0.515800749866095;0.111111111111111
30;48;0.052222817354044;0.222222222222222
31;47;0.219603642206749;0.083333333333333
32;46;0.009641135511516;0.444444444444444
33;43;0.178896625602571;0.138888888888889
34;41;0.465452597750402;0.083333333333333
35;40;0.081949651847884;0.222222222222222
36;39;0.046598821638993;0.194444444444444
37;37;0.023567220139261;0.027777777777778
38;36;0.057579003749331;0.083333333333333
39;35;0.016871987145153;0.25
40;26;0.008302088912694;0.472222222222222
41;25;0;0.416666666666667
42;12;0.000803427959293;0.111111111111111
43;11;0.020621317621853;0.305555555555556
44;10;0;0.527777777777778
45;6;0.059721478307445;0.138888888888889
46;4;0.109266202463846;0.055555555555556
47;38;0.138152610441767;0.114285714285714
48;132;0.007221182134261;0.225806451612903
49;129;0.371222251939021;0.064516129032258
50;115;0.037443166622092;0.419354838709677
51;108;0.263439422305429;0.129032258064516
52;105;0;0.290322580645161
53;97;0.110724792725328;0.225806451612903
54;81;0;0.483870967741936
55;32;0.058036908264242;0.096774193548387
56;19;0.737095480074886;0.032258064516129
57;9;0.018721583311046;0.064516129032258
58;130;0.116577540106952;0.366666666666667
59;127;0.089839572192513;0.2
60;119;0.012834224598931;0.1
61;107;0.020855614973262;0.266666666666667
62;104;0.000802139037433;0.233333333333333
63;102;0.131818181818182;0.2
64;99;0.038235294117647;0.133333333333333
65;95;0.182085561497326;0.2
66;93;0.082352941176471;0.1
67;92;0.02192513368984;0.1
68;91;0;0.833333333333333
69;90;0.059358288770054;0.133333333333333
70;89;0.03475935828877;0.2
71;87;0.236363636363636;0.233333333333333
72;85;0;0.033333333333333
73;83;0.072459893048128;0.366666666666667
74;76;0.002406417112299;0.366666666666667
75;73;0.009090909090909;0.266666666666667
76;70;0;0.5
77;69;0.243048128342246;0
78;65;0.005614973262032;0.033333333333333
79;58;0.002673796791444;0.166666666666667
80;56;0.001871657754011;0.233333333333333
81;55;0;0.4
82;54;0.000534759358289;0.166666666666667
83;52;0.014705882352941;0.1
84;51;0.109625668449198;0.066666666666667
85;44;0.045187165775401;0.233333333333333
86;34;0.006951871657754;0.2
87;33;0.002941176470588;0.233333333333333
88;30;0.005614973262032;0.4
89;29;0.008021390374332;0.066666666666667
90;24;0.001336898395722;0.6
91;23;0.011764705882353;0.466666666666667
92;20;0.035294117647059;0.2
93;17;0.006417112299465;0.166666666666667
94;16;0.001871657754011;0.3
95;15;0.08475935828877;0
96;13;0.581283422459893;0.3
97;8;0.30427807486631;0.166666666666667
